Unnamed: 0,0.0,0.0166666666666666,0.0.1,0.0.2,2.8833333333333333,8.0,2,26.96666666666667,5:0,13:0,0.0.3,0.0.4,0.0.5,0.0.6,2.1,Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
,,,,,,,,,,,,,,,,2023年03月31日 02:52:21,2.0,2.2333333333333334,1.0166666666666666,1.05,0.8333333333333328,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.8666666666666667
,,,,,,,,,,,,,,,,2023年03月31日 02:52:21,2.0,2.2333333333333334,1.0166666666666666,1.0666666666666669,0.8166666666666662,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.8666666666666667
,,,,,,,,,,,,,,,,2023年03月31日 02:52:21,2.0,2.2333333333333334,1.0166666666666666,1.0833333333333333,0.7999999999999996,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.8666666666666667
,,,,,,,,,,,,,,,,2023年03月31日 02:53:26,0.0,0.0,0.0,0.0,21.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:28,1.0,0.0,0.0,0.0,20.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:28,2.0,0.0,0.0,0.0,19.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:28,3.0,0.0,0.0,0.0,18.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:29,4.0,0.0,0.0,0.0,17.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:29,5.0,0.0,0.0,0.0,16.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:29,6.0,0.0,0.0,0.0,15.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:30,6.0,1.0,0.0,0.0,14.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:30,6.0,2.0,0.0,0.0,13.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:31,6.0,3.0,0.0,0.0,12.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:31,6.0,4.0,0.0,0.0,11.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:31,6.0,5.0,0.0,0.0,10.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:32,6.0,5.0,1.0,0.0,9.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:32,6.0,5.0,2.0,0.0,8.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:33,6.0,5.0,2.0,1.0,7.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:33,6.0,5.0,2.0,2.0,6.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:33,6.0,5.0,2.0,3.0,5.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:35,6.0,5.0,2.0,4.0,4.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:35,6.0,5.0,2.0,3.0,5.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:35,6.0,5.0,2.0,2.0,6.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:53:36,6.0,5.0,2.0,1.0,7.116666666666667,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.8833333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:55:35,6.0,5.0,2.0,1.0,7.083333333333332,0.0,1.0,21.96666666666667,0:0,0:0,1.0,1.0,0.0,1.0,-0.0833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:55:36,6.0,5.0,2.0,1.0,7.083333333333332,0.0,1.0,21.96666666666667,0:0,0:0,1.0,1.0,0.0,1.0,-0.0833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:55:37,6.0,5.0,2.0,1.0,7.083333333333332,0.0,1.0,21.96666666666667,0:0,0:0,1.0,1.0,0.0,1.0,-0.0833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:55:38,6.0,5.0,2.0,1.0,7.083333333333332,0.0,1.0,21.96666666666667,0:0,0:0,1.0,1.0,0.0,1.0,-0.0833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:55:42,6.0,5.0,2.0,1.0,7.083333333333332,0.0,1.0,21.96666666666667,0:0,0:0,1.0,1.0,0.0,1.0,-0.0833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:59:18,0.0,0.0,0.0,0.0,21.016666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.9833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:59:22,0.0,0.0,0.0,0.0,21.016666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.9833333333333334
